"university","group","homepage","missionpage","simplemission","mission","department"
"University of Aberdeen",,"http://www.abdn.ac.uk/","http://www.abdn.ac.uk/library/about/vision/","To inspire to enquire","Library, special colections and museums aims to enrich the learning experience and to encourage exploration and discovery for study, research and enjoyment. Library, special collections and museums supports the University's ambition to be recognised locally nationally and internationally as a broad-based university that delivers innovative and excellent teaching, learning and research. Specifically, library , special colletions and museums will: Promote excellemce based on our distinctive and internationally-recognised collections. Encourage and support enquiry, research, study and enjoyment through innovation, collaboration and leadership. Anticipate and respond to changing user requirements and service needs","Library"
"University of Aberdeen",,"http://www.abdn.ac.uk/","http://www.abdn.ac.uk/explohub/about/mission-statement-72.php",,"exploHUB's mission is to provide a unique exploration training environment to prepare exploration geoscientists for the challenge of discovering the Earth's remaining hydrocarbon resources.","explHub"
"University of Abertay Dundee",,"http://www.abertay.ac.uk/","http://www.abertay.ac.uk/about/mission/","Abertay is committed to being an excellent university, equal to the best in Scotland and making its own unique contribution to society...","Our mission is to provide a distinctive and high-quality university education that empowers our graduates socially, culturally and economically, and to generate new knowledge and learning that reinforces national competitiveness.",
"Aberystwyth University",,"https://www.aber.ac.uk/",,,,
"Anglia Ruskin University",,"http://www.anglia.ac.uk/ruskin/en/home.html","http://libweb.anglia.ac.uk/policiesplans/mission.htm",,"The University Library at Anglia Ruskin University supports our University's academic aims and objectives by ensuring that its students and staff have seamless and timely access to a wide range of library services, excellent learning support and high quality information resources. - See more at: http://libweb.anglia.ac.uk/policiesplans/mission.htm#sthash.hJO3AuAa.dpuf","Library"
"The Arts University Bournemouth",,"http://aub.ac.uk/",,,,
"University of the Arts London",,"http://www.arts.ac.uk/","http://www.arts.ac.uk/student/studentservices/aboutus/missionstatement/",,"Our aim is to be recognized as professional services for generic and specialist student support within University of the Arts London. Our success will be measured by the integration of our provision within the teaching, learning and research life of the University. We will also be measured by our professional practice, the success of the services offered, and by the high quality of our staff. We will strive to get consistent feedback from our client groups and stakeholders, in order to evaluate and change our provision and assess the department's",
"Camberwell College of Arts",,"http://www.camberwell.arts.ac.uk/",,,,
"Central Saint Martins College of Art and Design",,"http://www.csm.arts.ac.uk/",,,,
"Chelsea College of Art and Design",,"http://www.chelsea.arts.ac.uk/",,,,
